Using selector: SelectSelector
{'logmessage': 'INFO', 'logdescription': 'Event detected from stripe webhook', 'severity': 1, 'timestamp': '2024-02-24 17:53:53', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'INFO', 'logdescription': 'Event detected from stripe webhook', 'severity': 1, 'timestamp': '2024-02-24 17:54:03', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'INFO', 'logdescription': 'Event detected from stripe webhook', 'severity': 1, 'timestamp': '2024-02-24 17:54:03', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'ERROR', 'logdescription': 'Caught error while processing stripe webhook', 'severity': 4, 'timestamp': '2024-02-24 17:54:03', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'ERROR', 'logdescription': 'Caught error while processing stripe webhook', 'severity': 4, 'timestamp': '2024-02-24 17:54:03', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'INFO', 'logdescription': 'Event detected from stripe webhook', 'severity': 1, 'timestamp': '2024-02-24 17:54:04', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'INFO', 'logdescription': 'Event detected from stripe webhook', 'severity': 1, 'timestamp': '2024-02-24 17:54:04', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'ERROR', 'logdescription': 'Caught error while processing stripe webhook', 'severity': 4, 'timestamp': '2024-02-24 17:54:04', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'ERROR', 'logdescription': 'Caught error while processing stripe webhook', 'severity': 4, 'timestamp': '2024-02-24 17:54:04', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'INFO', 'logdescription': 'All the customers have been fetched', 'severity': 1, 'timestamp': '2024-02-24 17:54:13', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'INFO', 'logdescription': 'All the customers have been fetched', 'severity': 1, 'timestamp': '2024-02-24 17:54:13', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'DEBUG', 'logdescription': 'The data has been fetched from cache', 'severity': 2, 'timestamp': '2024-02-24 17:54:14', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'DEBUG', 'logdescription': 'The data has been fetched from cache', 'severity': 2, 'timestamp': '2024-02-24 17:54:14', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'DEBUG', 'logdescription': 'The data has been fetched from cache', 'severity': 2, 'timestamp': '2024-02-24 17:54:15', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'DEBUG', 'logdescription': 'The data has been fetched from cache', 'severity': 2, 'timestamp': '2024-02-24 17:54:15', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'DEBUG', 'logdescription': 'The data has been fetched from cache', 'severity': 2, 'timestamp': '2024-02-24 17:54:16', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'DEBUG', 'logdescription': 'The data has been fetched from cache', 'severity': 2, 'timestamp': '2024-02-24 17:54:16', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'DEBUG', 'logdescription': 'The data has been fetched from cache', 'severity': 2, 'timestamp': '2024-02-24 17:54:17', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'DEBUG', 'logdescription': 'The data has been fetched from cache', 'severity': 2, 'timestamp': '2024-02-24 17:54:17', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'CRITICAL', 'logdescription': 'Something went wrong while fetching the specific customer data', 'severity': 5, 'timestamp': '2024-02-24 17:54:20', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'CRITICAL', 'logdescription': 'Something went wrong while fetching the specific customer data', 'severity': 5, 'timestamp': '2024-02-24 17:54:20', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'CRITICAL', 'logdescription': 'Something went wrong while fetching the specific customer data', 'severity': 5, 'timestamp': '2024-02-24 17:54:21', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'CRITICAL', 'logdescription': 'Something went wrong while fetching the specific customer data', 'severity': 5, 'timestamp': '2024-02-24 17:54:21', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'CRITICAL', 'logdescription': 'Something went wrong while fetching the specific customer data', 'severity': 5, 'timestamp': '2024-02-24 17:54:22', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'CRITICAL', 'logdescription': 'Something went wrong while fetching the specific customer data', 'severity': 5, 'timestamp': '2024-02-24 17:54:22', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'CRITICAL', 'logdescription': 'Something went wrong while fetching the specific customer data', 'severity': 5, 'timestamp': '2024-02-24 17:54:24', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'CRITICAL', 'logdescription': 'Something went wrong while fetching the specific customer data', 'severity': 5, 'timestamp': '2024-02-24 17:54:24', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:31', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:31', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:32', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:32', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:33', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:33', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:34', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:34', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:35', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:35', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:36', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:36', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:36', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:36', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:37', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:37', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:39', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:39', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:40', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'WARNING', 'logdescription': 'Customer deletion request sent to Redis', 'severity': 3, 'timestamp': '2024-02-24 17:54:40', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'INFO', 'logdescription': 'All the customers have been fetched', 'severity': 1, 'timestamp': '2024-02-24 17:54:44', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'INFO', 'logdescription': 'All the customers have been fetched', 'severity': 1, 'timestamp': '2024-02-24 17:54:44', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'DEBUG', 'logdescription': 'The data has been fetched from cache', 'severity': 2, 'timestamp': '2024-02-24 17:54:45', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'DEBUG', 'logdescription': 'The data has been fetched from cache', 'severity': 2, 'timestamp': '2024-02-24 17:54:45', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'DEBUG', 'logdescription': 'The data has been fetched from cache', 'severity': 2, 'timestamp': '2024-02-24 17:54:46', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
{'logmessage': 'DEBUG', 'logdescription': 'The data has been fetched from cache', 'severity': 2, 'timestamp': '2024-02-24 17:54:46', 'source_ips': '192.168.73.97', 'destination_ips': '93.184.216.34'}
